iter	Passed	Remaining
0	57	5699
1	66	3242
2	75	2452
3	85	2040
4	94	1791
5	102	1610
6	111	1486
7	120	1381
8	129	1305
9	137	1234
10	145	1176
11	154	1132
12	162	1089
13	170	1049
14	179	1016
15	187	984
16	196	959
17	205	935
18	214	914
19	224	899
20	233	878
21	242	859
22	250	838
23	258	818
24	266	799
25	274	781
26	284	768
27	294	756
28	303	742
29	312	729
30	321	715
31	330	702
32	339	689
33	347	674
34	355	660
35	363	646
36	371	633
37	380	620
38	389	609
39	398	598
40	407	586
41	416	574
42	424	562
43	433	551
44	441	540
45	451	530
46	461	519
47	470	509
48	478	498
49	486	486
50	495	475
51	503	464
52	511	453
53	520	443
54	529	433
55	539	423
56	549	414
57	558	404
58	567	394
59	575	383
60	583	372
61	590	362
62	598	351
63	606	341
64	616	331
65	624	321
66	632	311
67	640	301
68	649	291
69	657	281
70	666	272
71	674	262
72	683	252
73	692	243
74	700	233
75	708	223
76	718	214
77	726	205
78	735	195
79	743	185
80	751	176
81	760	166
82	768	157
83	777	148
84	786	138
85	794	129
86	803	120
87	811	110
88	819	101
89	828	92
90	836	82
91	845	73
92	854	64
93	863	55
94	871	45
95	879	36
96	888	27
97	896	18
98	904	9
99	914	0
